iter1,iter2,iter3,iter4,iter5,iter6,iter7,iter8,iter9,iter10,iter11
32,22,20,19,21,20,13,14,15,13,13
29,25,24,22,19,20,15,16,12,14,12
29,21,22,23,19,18,15,11,11,13,14
28,21,25,18,20,18,14,14,13,14,11
33,24,22,22,20,19,14,16,15,11,14
35,23,26,22,20,20,17,12,14,14,13
33,24,25,20,21,18,14,13,16,14,11
30,24,22,18,21,16,14,14,12,12,9
29,24,25,21,18,21,16,13,14,11,13
30,25,23,18,20,18,14,14,12,12,11
30,25,21,21,20,19,13,16,13,12,11
31,25,19,18,21,19,12,14,15,13,13
31,24,22,20,20,20,14,15,14,14,11
30,22,22,22,20,20,14,12,13,13,12
32,27,26,21,15,19,13,18,13,12,14
28,25,20,18,22,18,19,15,17,15,13
31,23,22,21,18,20,16,14,14,12,13
33,22,24,23,16,19,13,19,13,12,13
29,29,24,18,22,17,17,13,12,10,11
31,22,19,21,18,18,14,13,14,14,13
27,22,24,18,20,18,13,16,13,12,11
33,26,26,22,20,17,14,11,14,14,11
31,26,23,23,18,21,13,14,13,12,14
32,26,20,22,20,17,18,19,11,13,13
30,29,24,19,19,17,14,16,16,15,14
30,27,24,21,14,22,15,16,15,10,15
28,27,26,20,16,16,14,11,12,14,11
33,25,25,21,15,17,11,15,16,15,11
31,27,22,23,17,18,12,17,12,13,13
31,24,22,18,21,19,11,14,13,10,15
31,26,26,22,19,21,16,14,12,15,12
29,22,21,21,22,17,16,12,15,13,14
31,24,21,19,21,20,12,15,15,14,10
29,28,24,20,22,19,12,12,13,12,15
32,25,23,20,19,18,16,13,13,13,14
32,29,24,20,23,18,16,15,11,13,10
29,25,22,20,19,21,13,15,14,11,13
34,23,24,19,20,19,14,15,13,13,14
29,25,26,22,19,17,14,13,15,11,13
32,24,24,22,22,18,13,13,14,11,12
32,25,23,23,19,16,12,12,12,9,13
34,25,25,23,21,19,14,12,13,12,11
31,26,26,21,21,18,14,16,11,11,13
35,25,27,21,21,18,13,12,11,13,12
30,24,23,19,19,18,12,14,15,16,12
31,19,21,20,19,19,15,15,13,12,14
28,21,25,19,23,16,13,13,13,11,11
29,23,24,20,21,20,12,13,12,15,15
29,25,24,20,21,20,13,15,15,13,11
29,26,22,19,19,21,12,18,9,14,14
29,24,23,24,20,21,16,14,12,13,13
33,25,24,21,19,17,17,13,15,15,13
33,25,22,24,20,18,15,16,10,14,13
31,25,23,19,20,21,14,13,15,12,13
32,27,24,20,21,14,14,11,12,14,11
30,23,24,18,21,19,14,11,14,15,14
29,23,21,20,20,18,15,14,14,13,12
31,26,26,22,19,19,14,14,12,12,11
28,20,23,22,19,18,18,14,13,11,10
32,25,24,21,20,22,18,13,14,13,11
31,27,21,19,19,18,14,15,14,13,13
32,21,19,14,21,18,14,15,13,13,11
34,25,26,20,19,20,13,11,12,12,14
30,26,24,22,20,17,14,12,10,9,12
33,21,24,20,20,18,11,12,17,14,13
34,23,21,19,19,16,13,13,12,15,12
29,25,21,19,20,19,13,16,12,11,13
32,26,24,20,15,20,16,13,12,11,11
28,26,23,21,22,19,15,15,14,13,15
29,22,23,22,18,20,15,12,15,12,12
34,29,26,18,22,19,15,14,11,11,15
26,25,22,19,19,20,16,12,13,12,12
30,25,23,25,22,19,16,14,15,11,13
29,23,21,20,21,16,12,12,12,13,13
29,28,25,20,21,19,13,14,14,13,12
31,22,23,20,17,19,16,13,14,13,13
33,25,25,21,18,21,15,13,14,12,12
28,27,19,20,19,16,15,15,15,12,12
29,22,22,23,23,20,14,16,11,12,14
32,26,23,22,18,17,13,13,13,10,11
27,26,25,23,19,20,16,14,11,13,13
29,26,21,22,18,18,13,14,14,16,12
31,24,23,22,21,20,15,14,13,15,13
30,25,22,24,20,18,13,14,16,13,15
32,23,24,23,18,20,15,12,14,11,12
25,27,24,16,20,21,16,11,13,13,13
30,23,23,20,20,21,13,15,14,12,14
32,24,25,20,22,19,13,15,14,12,12
29,27,21,23,17,18,13,12,13,12,14
34,21,25,19,16,17,14,17,15,12,13
30,23,25,22,19,16,15,13,16,12,15
35,30,22,20,19,20,12,15,15,15,13
27,24,24,19,18,18,13,14,12,13,17
31,27,21,23,18,17,11,16,15,15,13
29,26,26,18,20,19,15,14,14,12,15
29,21,20,22,18,22,14,13,13,13,15
27,22,23,20,21,18,15,13,12,13,13
28,22,21,18,20,18,15,14,16,11,13
31,27,24,22,21,19,15,14,13,14,13
30,25,26,20,18,20,15,14,12,10,10
29,26,19,21,21,20,16,14,12,11,13
30,24,26,22,21,20,14,15,13,14,13
34,24,27,23,18,18,17,14,14,14,14
28,22,24,23,21,17,15,12,13,15,15
31,24,22,24,19,19,14,13,13,13,14
29,27,24,20,18,20,13,12,13,11,10
31,24,21,19,18,17,15,13,11,11,10
31,22,22,19,19,18,13,13,16,10,13
33,27,21,23,22,16,17,13,13,12,14
29,27,25,20,17,18,13,13,14,14,16
30,28,24,21,20,20,13,12,13,13,14
31,22,25,18,22,16,14,15,16,13,11
28,28,26,22,19,20,15,16,17,13,13
31,26,22,20,16,18,14,17,12,15,13
30,28,24,19,19,18,15,15,13,10,10
31,25,25,25,20,19,16,13,16,11,12
30,26,21,23,21,18,17,15,12,11,14
31,26,20,17,21,16,12,13,13,13,13
32,24,24,23,19,20,13,13,11,10,13
29,25,21,19,21,17,12,13,14,14,13
27,23,23,19,19,18,16,14,16,14,13
30,24,25,22,19,19,11,12,11,15,12
28,21,24,20,21,18,17,15,14,13,10
24,26,28,24,17,19,14,14,15,11,12
32,26,22,20,15,16,14,15,14,16,14
30,24,24,20,22,21,13,13,11,11,13
30,25,22,22,19,19,14,10,11,13,13
32,27,26,24,16,21,13,12,14,13,13
33,25,22,22,17,18,12,13,14,10,12
34,25,29,24,20,20,14,13,15,10,12
33,28,24,22,22,19,14,16,12,16,14
31,27,24,18,18,19,13,13,14,13,11
28,24,24,20,20,18,16,15,13,13,10
31,23,21,20,20,19,11,13,12,15,13
32,23,23,21,20,19,15,15,15,16,14
25,25,23,19,19,18,15,15,16,11,13
33,26,24,21,21,20,15,16,15,14,14
33,25,26,21,20,17,13,12,12,12,14
35,27,24,17,19,20,16,12,13,12,11
30,26,26,22,19,19,15,17,14,11,13
30,24,24,21,21,18,14,12,17,14,12
33,26,26,19,19,19,15,13,14,14,13
31,23,24,18,18,21,12,13,14,12,14
30,25,23,22,21,17,14,12,13,15,15
32,27,23,20,16,15,15,13,13,9,11
33,28,26,21,20,17,15,14,11,15,13
32,26,28,19,22,17,14,11,17,17,15
30,24,26,24,23,18,15,13,16,12,12
29,27,26,20,21,19,12,12,15,14,12
33,24,22,19,18,19,14,14,18,13,14
31,25,23,23,18,20,14,13,11,10,11
28,22,23,22,19,19,13,11,14,12,12
33,24,21,21,16,19,15,15,11,14,12
31,24,26,23,17,18,14,14,13,13,14
29,23,28,21,21,16,14,14,11,11,13
32,26,23,21,17,17,14,15,13,11,13
25,26,27,22,20,20,13,13,12,14,12
29,22,23,20,20,17,14,15,15,13,12
31,24,28,22,20,18,15,14,11,12,12
30,25,21,23,21,16,14,13,15,14,13
33,25,24,20,19,19,16,13,12,14,13
29,20,25,21,21,17,14,12,15,16,15
33,20,23,22,17,20,14,17,14,14,11
28,21,19,21,19,20,13,16,13,12,12
31,26,25,22,22,19,16,12,15,15,12
30,24,19,16,18,18,12,13,15,9,11
33,23,24,21,17,21,16,14,14,12,14
27,27,23,19,16,17,16,17,14,13,12
26,21,25,20,18,19,15,15,12,12,14
30,25,24,22,19,18,14,12,10,13,13
25,27,24,23,19,20,14,15,14,12,13
32,25,25,24,22,18,12,12,13,14,13
27,24,23,19,20,19,16,15,12,12,13
29,24,22,21,18,20,14,16,12,14,12
31,23,22,21,16,17,14,12,11,11,12
29,22,21,19,19,15,15,15,14,14,14
27,30,26,23,20,18,14,12,14,14,12
31,23,24,19,20,18,10,15,14,13,13
33,25,25,22,17,20,13,14,15,17,13
30,27,20,20,18,20,18,14,12,14,12
32,28,23,22,20,19,16,16,14,15,11
30,22,28,21,20,18,15,10,11,9,12
31,24,22,21,19,20,13,13,13,11,12
33,27,23,21,19,18,14,16,13,13,12
33,26,21,22,18,15,16,11,16,14,11
33,25,25,22,23,20,16,15,13,13,11
31,23,22,19,20,17,14,14,12,11,12
32,23,24,18,17,18,15,11,11,9,15
32,22,20,20,19,23,12,12,13,10,15
31,26,26,18,17,17,14,14,13,12,14
32,24,23,18,19,20,13,14,14,12,12
32,23,27,20,18,18,15,15,13,12,13
30,25,25,19,21,19,17,14,14,13,12
32,24,24,20,20,20,16,14,14,12,12
30,24,25,21,18,19,13,16,14,14,14
33,25,23,20,24,19,10,14,14,14,16
32,23,26,20,21,17,15,14,12,10,12
33,24,24,20,23,18,14,14,13,13,13
33,25,21,16,20,17,16,11,10,15,13
32,25,25,22,23,15,12,14,12,15,13
29,22,24,20,21,16,14,13,14,15,14
33,21,26,24,22,20,14,14,11,11,14
30,28,25,20,19,16,15,12,15,14,12
30,22,21,19,19,19,13,13,14,13,13
35,27,23,22,22,18,15,12,13,10,12
30,26,25,23,19,15,14,14,11,12,11
28,27,26,20,21,19,13,12,12,11,11
29,27,23,20,22,18,16,15,13,12,12
30,25,22,20,20,20,17,14,14,13,10
33,29,23,21,21,17,16,10,14,13,15
28,24,25,23,18,18,15,15,13,11,15
28,27,21,22,18,20,16,13,16,16,12
32,26,24,23,17,18,15,11,13,11,13
30,24,22,20,18,17,15,13,14,13,12
30,28,24,21,22,22,15,12,13,10,12
28,26,23,23,21,18,13,12,12,12,10
29,22,24,26,21,19,13,15,14,12,14
31,27,23,21,19,20,14,12,13,11,9
29,24,23,19,20,17,14,15,15,12,12
32,27,22,26,21,17,14,13,13,13,13
30,25,24,18,20,18,15,13,13,13,12
28,22,24,23,19,20,12,13,13,10,9
28,26,22,20,19,16,15,14,11,13,13
29,25,20,20,14,21,16,14,11,12,11
29,24,28,19,18,18,15,13,13,13,14
29,24,26,23,19,18,16,12,12,10,14
31,24,24,22,19,18,16,13,13,11,12
32,26,19,21,18,16,15,11,13,16,12
29,25,22,22,19,21,14,16,13,13,12
33,25,22,18,20,18,14,14,15,12,13
31,24,25,21,20,18,15,14,16,13,13
30,23,25,19,17,19,12,14,13,12,10
30,23,23,23,23,21,17,15,14,12,12
32,25,24,21,19,17,14,15,14,12,13
30,23,24,21,21,21,12,12,12,14,14
34,23,24,16,17,17,12,13,12,12,11
30,28,25,22,21,19,15,13,10,11,13
34,28,21,23,20,17,13,15,12,12,13
32,22,21,22,21,16,15,14,15,14,10
25,24,20,20,17,20,16,14,13,16,10
32,23,23,18,19,20,16,13,14,12,12
31,20,22,22,22,20,11,15,15,13,11
29,26,21,21,22,18,13,15,13,11,13
27,25,25,19,20,20,13,12,13,15,13
29,26,20,21,21,19,13,13,14,16,13
27,27,22,22,19,16,12,15,14,13,13
31,25,23,21,19,20,15,14,15,13,14
31,29,24,19,19,21,13,13,13,11,13
29,26,24,22,20,21,12,13,13,14,13
28,25,23,20,18,18,13,15,12,16,13
33,19,23,22,20,17,13,12,12,13,13
29,21,21,22,20,15,13,16,15,13,15
31,28,25,20,17,20,15,12,14,14,13
30,26,22,23,21,19,14,12,15,13,12
33,24,20,23,19,18,16,15,14,13,15
33,27,27,23,20,17,16,11,16,14,13
30,26,22,19,23,19,13,14,13,11,11
31,24,23,20,20,20,13,13,12,12,14
31,22,23,20,20,21,15,12,13,11,14
32,28,21,21,18,19,15,13,14,12,15
25,25,22,23,21,19,16,16,14,15,13
30,26,24,22,18,16,13,14,14,12,14
33,26,24,23,21,17,13,14,16,12,14
29,27,21,21,19,20,13,13,12,11,13
31,25,22,23,21,15,11,17,12,14,11
36,26,21,23,20,20,14,15,13,11,13
29,24,21,18,16,19,13,13,12,12,10
28,25,23,23,20,19,13,12,14,12,16
31,24,24,20,18,19,15,15,15,12,12
29,22,25,21,21,18,15,18,12,14,14
29,26,23,21,21,17,13,15,12,13,11
27,22,21,20,19,16,16,14,15,14,12
29,23,25,22,21,19,15,14,16,14,15
31,26,25,21,19,17,15,14,12,13,12
28,19,20,21,21,20,17,15,15,10,13
31,25,25,19,20,20,14,15,12,9,11
29,24,22,22,22,18,16,13,13,12,13
30,23,21,20,18,16,13,15,13,11,8
31,26,24,20,18,18,11,10,12,13,15
31,24,25,21,19,21,15,12,14,13,14
29,24,28,17,23,18,11,14,12,10,9
28,22,24,22,23,17,14,14,14,12,15
29,23,23,23,21,18,17,15,17,13,14
33,27,25,22,21,21,14,13,13,12,14
31,24,22,17,20,19,12,13,15,16,13
31,25,22,21,20,19,13,14,15,12,13
31,24,25,21,18,17,16,13,13,13,15
31,23,27,23,21,17,17,13,13,14,11
33,26,25,18,20,18,16,14,12,12,12
29,26,26,20,18,20,16,16,12,12,16
29,28,22,22,18,18,17,13,9,11,12
32,25,23,19,17,21,15,15,14,11,16
28,22,25,23,18,22,16,15,13,13,11
28,26,23,22,15,15,15,14,13,12,11
34,23,26,21,21,19,15,11,12,15,15
32,23,25,22,19,18,16,13,15,13,11
29,23,21,22,20,23,16,14,14,14,13
26,22,27,20,17,19,12,12,15,11,11
31,23,22,22,20,20,14,9,14,15,12
32,24,23,23,21,18,14,15,14,10,11
31,22,23,24,21,17,15,13,11,15,12
28,25,24,20,20,19,13,12,11,14,16
29,26,24,20,17,21,12,16,13,14,10
29,25,25,23,22,22,13,15,13,13,13
31,22,22,23,20,17,14,13,15,15,13
31,26,22,19,20,18,14,12,14,13,12
30,25,23,21,20,17,13,11,12,14,10
33,20,20,18,19,20,12,14,12,10,11
27,23,24,21,21,18,17,11,18,16,13
32,25,21,20,23,17,12,16,15,12,15
29,22,23,20,19,18,15,13,16,13,12
31,26,24,21,19,20,14,16,12,12,13
34,26,23,22,21,16,15,14,13,17,11
29,28,26,22,23,18,15,15,13,15,13
30,21,26,22,20,18,14,13,14,13,12
32,28,26,23,20,21,15,14,13,14,13
30,24,23,24,20,18,10,12,12,13,16
33,24,22,20,24,19,13,12,13,13,14
27,24,23,22,19,16,14,14,15,14,15
29,26,24,23,19,16,13,12,15,15,12
32,28,19,20,22,17,14,14,13,14,12
31,25,21,18,21,19,17,10,15,11,10
32,25,23,16,19,19,14,10,12,12,13
33,25,28,21,18,17,14,14,12,12,13
31,25,21,20,22,17,14,14,11,10,10
32,27,26,21,21,17,16,13,11,14,9
29,24,23,20,17,17,13,12,12,12,13
31,28,23,20,22,17,14,13,15,14,13
31,28,21,24,19,17,12,14,16,13,13
33,23,26,21,19,19,12,11,14,10,15
30,25,25,21,17,20,15,12,15,14,13
30,25,23,20,18,17,16,12,13,11,14
31,28,22,20,18,18,17,11,14,12,10
27,25,18,21,19,18,13,16,16,11,11
31,25,25,20,19,16,14,16,11,10,12
33,24,24,24,22,20,16,13,14,13,14
29,26,24,17,18,18,12,17,12,10,14
31,29,20,19,19,19,16,13,15,13,10
29,28,23,17,23,18,13,17,12,14,11
32,28,27,21,20,18,15,15,15,13,14
32,26,23,20,20,19,14,10,15,12,13
29,27,24,21,23,15,14,14,12,13,11
28,24,22,20,20,19,14,13,12,12,12
34,24,24,22,20,19,12,15,15,13,14
31,28,25,23,20,20,13,12,13,13,13
33,25,22,18,19,15,13,15,12,14,10
30,25,24,20,19,21,18,12,13,11,13
31,25,25,23,19,21,13,15,13,12,10
29,25,21,20,20,19,15,14,15,10,11
31,24,26,20,18,18,14,17,14,13,14
30,28,24,22,18,20,14,16,14,12,15
29,24,24,22,19,19,15,11,14,11,13
31,26,24,18,20,19,13,12,12,11,15
28,23,23,21,21,21,13,16,14,14,13
31,22,20,19,19,17,16,14,13,11,12
30,19,23,20,21,19,17,14,14,12,13
29,24,22,19,17,17,14,15,14,15,13
33,26,22,20,21,19,14,14,12,12,15
31,23,22,17,18,18,13,12,14,9,13
31,27,25,19,20,18,12,14,16,12,12
29,24,23,19,16,21,11,12,14,11,10
30,23,26,19,19,18,13,11,13,12,15
32,25,23,21,19,16,13,15,14,14,14
30,25,24,22,19,18,13,11,14,10,12
28,21,22,22,19,17,15,15,13,13,14
31,23,25,22,18,20,12,13,12,15,13
33,23,24,22,23,19,14,16,15,11,12
26,26,22,21,24,19,15,13,11,14,13
